,av_num,title,upload_time,author,view,num_danmaku,reply,favorite,coin,share,like,tags
65,37552301,高等有机化学【80集】(王全瑞：复旦大学),2018-12-06,York1996,7488,9,11,652,31,33,84,"[高等有机化学, HUckel分子轨道理论, 有机反应机理, Conformational, Steric, Stereoelectronic, 羰基化合物, 分子重排, 周环反应, 线性自由能关系]"
61,40846829,政治经济学【63集】(张晖明：复旦大学),2019-01-16,York1996,5613,4,4,650,19,21,52,"[商品经济, 资本流通与交易费用, 平均利润、利息和地租, 资本主义再生产与经济危机, 资本积累与国家的经济参与, 资本国际化与国际垄断, 资本积累与企业社会化]"
7,40348142,解析几何【103集】(黄宣国：复旦大学),2019-01-10,York1996,6268,2,7,648,24,15,55,"[非欧几何, 射影平面几何, 曲线与二次曲面, 射影平面上的射影坐标, 直射变换, steiner定理, 正弦定理和余弦定理, 空间仿射变换, 双曲平面几何]"
144,12580571,复旦大学 西方马克思主义前沿问题研究 全28讲 主讲-陈学明 视频教程,2017-07-25,choitsjilp,4146,12,8,628,16,31,19,[复旦大学 西方马克思主义前沿问题研究 全]
64,40082124,区域经济学【46集】(范剑勇：复旦大学),2019-01-06,York1996,6007,15,9,621,20,16,44,"[集聚经济与区位选择, 市场通达性与区位选择, 小地理范围产业集聚的描述方法, 新古典增长与发展理论, Two-level utility Fu, 新经济地理学, 区域经济学导论, 产业结构与发展, 本地市场效应]"
146,12502624,复旦大学 国际安全与战略 全77讲 主讲-唐世平 视频教程,2017-07-23,choitsjilp,5486,19,6,620,11,38,26,[复旦大学 国际安全与战略 全77讲 主讲]
26,40846892,国际金融【58集】(殷醒民：复旦大学),2019-01-16,York1996,5894,3,2,618,19,12,52,"[国际债务问题, 国际资本流动及其理论, 汇率决定的货币分析法, 汇率制度与外汇管理, 固定汇率体系下的经济政策, 外汇和外汇市场]"
56,44271951,复旦大学 当代中国政治制度 全60讲 主讲-浦兴祖 视频教程,2019-02-21,如我所示,6639,0,0,607,25,26,79,"[人文, 演讲, 讲座, 视频教程, 学习, 历史, 文化, 公开课, 北京师范大学, 线上课堂]"
88,24698813,复旦大学 解析几何,2018-06-11,骄傲的魂灵,9911,2,7,583,7,29,30,"[数学, 教育, 考试, 学习, 公开课]"
76,30622959,世界文明史通论 复旦大学 吴以义,2018-08-31,PeterHuggins,9278,33,9,572,22,41,40,"[人文, 文化, 历史, 公开课, 世界史]"
81,28593191,【复旦大学慕课】《理想国》导读-丁耘 [字幕精华带标题],2018-08-05,挣硬币改昵称,8299,34,9,559,70,48,61,"[哲学, 公开课, 柏拉图, 理想国, 西方哲学, 复旦大学, 通识教育, 西方经典原著导读]"
92,33404869,复旦大学 国际金融,2018-10-08,天降伟人啊,5337,0,3,557,11,10,35,"[复旦大学, 线上课堂, 国际金融, 58讲]"
